[2025-08-21 12:21:13,208: INFO: main: Welcome to my custom log]
[2025-08-27 09:40:58,816: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-27 09:40:58,826: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-27 09:40:58,828: INFO: common: created directory at: artifacts]
[2025-08-27 09:40:58,829: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-27 09:40:58,830: INFO: 4067884392: Downloading data from : https://drive.google.com/file/d/1YwKqQS5mg8dYWYtLxqGa_iqzIcut52uj/view?usp=drive_link into file artifacts\data_ingestion\data.zip]
[2025-08-27 09:41:55,368: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-27 09:41:55,370: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-27 09:41:55,371: INFO: common: created directory at: artifacts]
[2025-08-27 09:41:55,372: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-27 09:41:55,374: INFO: 4067884392: Downloading data from : https://drive.google.com/file/d/1YwKqQS5mg8dYWYtLxqGa_iqzIcut52uj/view?usp=drive_link into file artifacts\data_ingestion\data.zip]
[2025-08-27 09:45:51,096: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-27 09:45:51,097: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-27 09:45:51,098: INFO: common: created directory at: artifacts]
[2025-08-27 09:45:51,099: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-27 09:45:51,100: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1YwKqQS5mg8dYWYtLxqGa_iqzIcut52uj/view?usp=drive_link into file artifacts\data_ingestion\data.zip]
[2025-08-27 09:46:20,293: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-27 09:46:20,294: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-27 09:46:20,295: INFO: common: created directory at: artifacts]
[2025-08-27 09:46:20,296: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-27 09:46:20,297: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1YwKqQS5mg8dYWYtLxqGa_iqzIcut52uj/view?usp=drive_link into file artifacts\data_ingestion\data.zip]
[2025-08-27 09:48:32,237: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-27 09:48:32,239: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-27 09:48:32,239: INFO: common: created directory at: artifacts]
[2025-08-27 09:48:32,240: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-27 09:48:32,241: INFO: 727157653: Downloading data from https://drive.google.com/file/d/1YwKqQS5mg8dYWYtLxqGa_iqzIcut52uj/view?usp=drive_link into file artifacts\data_ingestion\data.zip]
[2025-08-27 09:49:02,586: INFO: 727157653: Downloaded data from https://drive.google.com/file/d/1YwKqQS5mg8dYWYtLxqGa_iqzIcut52uj/view?usp=drive_link into file artifacts\data_ingestion\data.zip]
